PacketSize,Width,Band,Bandwidth,DropRate
1500,80,5,9.51761,0.0984493
1500,80,5,9.17778,0.0811639
1500,80,5,9.57261,0.10847
1500,80,5,0.0,0.0
1500,80,5,9.05798,0.0615616
1500,80,5,5.43724,0.0854774
1500,80,5,3.93857,0.106771
1500,80,5,0.421728,0.0430622
1500,80,5,8.86973,0.0820073
1500,80,5,0.0,0.0
1500,80,6,4.68546,0.105386
1500,80,6,3.92513,0.0658862
1500,80,6,0.521965,0.10142
1500,80,6,0.801894,0.0714374
1500,80,6,9.0042,0.086313
1500,80,6,0.0,0.0
1500,80,6,0.0,0.0
1500,80,6,7.01658,0.0700558
1500,80,6,0.0,0.0
1500,80,6,7.16082,0.107833
1500,160,5,7.07525,0.0623828
1500,160,5,8.19986,0.078341
1500,160,5,5.9702,0.097147
1500,160,5,9.179,0.0628514
1500,160,5,5.95431,0.0803752
1500,160,5,7.8967,0.110426
1500,160,5,0.0,0.0
1500,160,5,8.87218,0.0713799
1500,160,5,3.25403,0.0441598
1500,160,5,0.0,0.0
1500,160,6,5.11819,0.0633196
1500,160,6,6.01543,0.0776042
1500,160,6,4.06448,0.103782
1500,160,6,0.900909,0.107568
1500,160,6,7.9566,0.0715524
1500,160,6,4.76003,0.094968
1500,160,6,3.50707,0.102817
1500,160,6,0.319046,0.101635
1500,160,6,0.695546,0.0994236
1500,160,6,6.23791,0.0782277
3000,80,5,4.22224,0.17691
3000,80,5,6.82875,0.17328
3000,80,5,6.67129,0.173189
3000,80,5,4.39181,0.173098
3000,80,5,1.10461,0.192767
3000,80,5,5.74593,0.185579
3000,80,5,1.14337,0.235863
3000,80,5,1.95003,0.220293
3000,80,5,0.438454,0.218506
3000,80,5,0.0,0.0
3000,80,6,0.627402,0.247366
3000,80,6,0.932624,0.148791
3000,80,6,0.0,0.0
3000,80,6,2.40544,0.215481
3000,80,6,4.87145,0.18989
3000,80,6,0.593488,0.208109
3000,80,6,0.0,0.0
3000,80,6,0.0,0.0
3000,80,6,2.37395,0.222959
3000,80,6,7.35441,0.172551
3000,160,5,10.4745,0.104264
3000,160,5,5.17909,0.19829
3000,160,5,0.239818,0.268578
3000,160,5,5.50369,0.219157
3000,160,5,0.0,0.0
3000,160,5,0.0775168,0.259771
3000,160,5,0.0,0.0
3000,160,5,2.34488,0.212268
3000,160,5,0.0,0.0
3000,160,5,5.72655,0.160228
3000,160,6,6.82148,0.0459229
3000,160,6,8.02057,0.17709
3000,160,6,9.88097,0.116712
3000,160,6,4.60014,0.199317
3000,160,6,4.69219,0.213919
3000,160,6,11.7317,0.107037
3000,160,6,0.0,0.0
3000,160,6,4.96592,0.0914597
3000,160,6,0.0,0.0
3000,160,6,0.0,0.0
4500,80,5,0.0,0.0
4500,80,5,6.82098,0.196271
4500,80,5,0.217344,0.173417
4500,80,5,14.486,0.0128332
4500,80,5,8.59958,0.107143
4500,80,5,0.0,0.0
4500,80,5,0.0,0.0
4500,80,5,0.0,0.0
4500,80,5,12.7762,0.0323205
4500,80,5,10.1355,0.0659443
4500,80,6,1.88365,0.166389
4500,80,6,0.0,0.0
4500,80,6,0.0,0.0
4500,80,6,0.0,0.0
4500,80,6,10.907,0.0605036
4500,80,6,2.66609,0.0839135
4500,80,6,3.2022,0.150815
4500,80,6,0.0,0.0
4500,80,6,9.7515,0.0523124
4500,80,6,6.1617,0.120956
4500,160,5,7.96566,0.0510533
4500,160,5,0.0,0.0
4500,160,5,0.0,0.0
4500,160,5,0.0,0.0
4500,160,5,5.99507,0.15512
4500,160,5,6.56741,0.137336
4500,160,5,13.2073,0.0169092
4500,160,5,11.2946,0.0744169
4500,160,5,5.94074,0.117387
4500,160,5,10.8563,0.0354938
4500,160,6,1.64457,0.142661
4500,160,6,11.5011,0.030256
4500,160,6,0.0,0.0
4500,160,6,4.85764,0.152111
4500,160,6,7.75556,0.100072
4500,160,6,11.1461,0.0478004
4500,160,6,0.0,0.0
4500,160,6,0.0,0.0
4500,160,6,7.16511,0.116452
4500,160,6,0.854886,0.166667
6000,80,5,0.0289344,0.373538
6000,80,5,3.34675,0.268435
6000,80,5,1.0127,0.270002
6000,80,5,7.07928,0.239197
6000,80,5,1.42743,0.297621
6000,80,5,1.42743,0.316566
6000,80,5,0.217008,0.327957
6000,80,5,0.0,0.0
6000,80,5,2.30993,0.296039
6000,80,5,0.708893,0.31979
6000,80,6,3.62162,0.264273
6000,80,6,2.03505,0.313061
6000,80,6,1.73124,0.317064
6000,80,6,3.90132,0.285714
6000,80,6,1.18149,0.323715
6000,80,6,3.26959,0.242424
6000,80,6,2.23277,0.316193
6000,80,6,0.0819808,0.301806
6000,80,6,0.308634,0.379653
6000,80,6,1.60104,0.316442
6000,160,5,4.48483,0.246837
6000,160,5,2.26171,0.329878
6000,160,5,1.19113,0.203991
6000,160,5,1.37438,0.309647
6000,160,5,0.0,0.0
6000,160,5,4.56681,0.307607
6000,160,5,1.00788,0.356334
6000,160,5,2.1749,0.307863
6000,160,5,2.21348,0.207858
6000,160,5,3.04293,0.354783
6000,160,6,0.0,0.0
6000,160,6,1.18631,0.287749
6000,160,6,5.35286,0.204328
6000,160,6,6.47648,0.184073
6000,160,6,5.02012,0.236097
6000,160,6,3.13456,0.308246
6000,160,6,3.97848,0.228395
6000,160,6,1.23453,0.327234
6000,160,6,2.04952,0.313941
6000,160,6,0.0,0.0
7500,80,5,0.313165,0.182339
7500,80,5,0.0,0.0
7500,80,5,1.05392,0.38208
7500,80,5,0.0,0.0
7500,80,5,5.76946,0.224606
7500,80,5,1.56582,0.213012
7500,80,5,9.58164,0.202764
7500,80,5,0.0240896,0.29972
7500,80,5,0.794957,0.390615
7500,80,5,3.00518,0.196357
7500,80,6,6.22114,0.286733
7500,80,6,3.95069,0.330058
7500,80,6,0.0,0.0
7500,80,6,1.18641,0.331104
7500,80,6,0.0,0.0
7500,80,6,1.40322,0.370277
7500,80,6,0.0,0.0
7500,80,6,9.37085,0.233912
7500,80,6,1.7465,0.371464
7500,80,6,0.192717,0.393204
7500,160,5,6.8294,0.250749
7500,160,5,2.48123,0.353169
7500,160,5,2.40294,0.321727
7500,160,5,5.23949,0.281265
7500,160,5,0.0,0.0
7500,160,5,3.49901,0.335695
7500,160,5,0.0,0.355947
7500,160,5,0.987674,0.37487
7500,160,5,0.319187,0.301676
7500,160,5,1.98739,0.373172
7500,160,6,10.6416,0.190939
7500,160,6,10.9487,0.088423
7500,160,6,10.4067,0.120235
7500,160,6,0.0,0.0
7500,160,6,1.46947,0.246988
7500,160,6,3.1738,0.199146
7500,160,6,5.78753,0.203399
7500,160,6,7.25097,0.234499
7500,160,6,9.25643,0.139168
7500,160,6,0.0,0.0
9000,80,5,3.69065,0.174373
9000,80,5,5.19291,0.214824
9000,80,5,0.0,0.0
9000,80,5,4.29011,0.31843
9000,80,5,7.15018,0.216301
9000,80,5,0.0216672,0.215317
9000,80,5,6.33404,0.104264
9000,80,5,3.71231,0.21235
9000,80,5,0.0,0.0
9000,80,5,1.43726,0.219725
9000,80,6,6.44238,0.186992
9000,80,6,8.99189,0.112531
9000,80,6,4.8679,0.186992
9000,80,6,4.30455,0.263189
9000,80,6,0.0,0.0
9000,80,6,0.0,0.0
9000,80,6,0.0,0.0
9000,80,6,4.0951,0.345378
9000,80,6,1.56004,0.219482
9000,80,6,7.35963,0.145883
9000,160,5,7.9952,0.205593
9000,160,5,0.0216672,0.263189
9000,160,5,7.79297,0.117232
9000,160,5,0.0,0.0
9000,160,5,4.10955,0.0905784
9000,160,5,10.4869,0.0587349
9000,160,5,9.8008,0.0569596
9000,160,5,0.0,0.0
9000,160,5,8.00964,0.122499
9000,160,5,3.56787,0.157966
9000,160,6,2.84563,0.31843
9000,160,6,8.35632,0.113475
9000,160,6,1.33614,0.244713
9000,160,6,6.96239,0.110953
9000,160,6,0.0,0.0
9000,160,6,6.00904,0.111585
9000,160,6,0.0,0.0
9000,160,6,0.0144448,0.432463
9000,160,6,1.94283,0.234538
9000,160,6,0.657238,0.35881
10500,80,5,4.85972,0.331774
10500,80,5,4.23647,0.315554
10500,80,5,2.82993,0.413519
10500,80,5,0.395853,0.453595
10500,80,5,1.00227,0.460881
10500,80,5,0.0084224,0.475526
10500,80,5,1.67606,0.382954
10500,80,5,0.0,0.477827
10500,80,5,0.345318,0.452338
10500,80,5,0.042112,0.252529
10500,80,6,0.0,0.0
10500,80,6,8.78456,0.25383
10500,80,6,0.0,0.0
10500,80,6,2.87204,0.236823
10500,80,6,0.0,0.0
10500,80,6,9.66892,0.219308
10500,80,6,1.65921,0.240071
10500,80,6,0.0336896,0.470864
10500,80,6,3.78166,0.346447
10500,80,6,2.50988,0.208349
10500,160,5,0.0,0.444387
10500,160,5,0.084224,0.463042
10500,160,5,2.77939,0.422528
10500,160,5,2.62779,0.39309
10500,160,5,1.10333,0.41191
10500,160,5,0.042112,0.417505
10500,160,5,0.867507,0.409316
10500,160,5,2.84677,0.35607
10500,160,5,6.76319,0.244891
10500,160,5,1.31389,0.425161
10500,160,6,0.0,0.0
10500,160,6,16.39,0.00695088
10500,160,6,0.0,0.0
10500,160,6,0.0,0.0
10500,160,6,11.2776,0.123159
10500,160,6,10.5448,0.135539
10500,160,6,4.32069,0.188872
10500,160,6,16.0026,0.0133517
10500,160,6,2.82993,0.279906
10500,160,6,9.35729,0.197078
12000,80,5,2.27089,0.478732
12000,80,5,2.25164,0.478152
12000,80,5,1.14507,0.490073
12000,80,5,0.0,0.0
12000,80,5,0.211693,0.475231
12000,80,5,0.105846,0.485597
12000,80,5,1.17393,0.481041
12000,80,5,0.0,0.0
12000,80,5,3.32935,0.449662
12000,80,5,6.37965,0.348958
12000,80,6,2.37673,0.340717
12000,80,6,0.0,0.0
12000,80,6,0.288672,0.491319
12000,80,6,4.86893,0.424494
12000,80,6,2.2324,0.255657
12000,80,6,1.47223,0.46974
12000,80,6,1.29902,0.264417
12000,80,6,6.56248,0.255066
12000,80,6,0.0,0.0
12000,80,6,0.0,0.0
12000,160,5,2.33824,0.481328
12000,160,5,2.63654,0.449016
12000,160,5,7.76528,0.307095
12000,160,5,0.0,0.0
12000,160,5,1.05846,0.460276
12000,160,5,1.92448,0.45981
12000,160,5,0.211693,0.50133
12000,160,5,1.45298,0.471235
12000,160,5,1.29902,0.482473
12000,160,5,2.50182,0.434389
12000,160,6,3.67576,0.408144
12000,160,6,3.31973,0.454625
12000,160,6,1.08733,0.480466
12000,160,6,5.23459,0.359193
12000,160,6,0.0096224,0.502521
12000,160,6,1.6743,0.466116
12000,160,6,1.06809,0.483471
12000,160,6,0.846771,0.468839
12000,160,6,1.5877,0.478732
12000,160,6,0.0,0.483471
13500,80,5,1.26622,0.369516
13500,80,5,1.32033,0.339802
13500,80,5,0.0,0.0
13500,80,5,0.054112,0.51143
13500,80,5,1.93721,0.394039
13500,80,5,0.205626,0.391161
13500,80,5,3.72291,0.29781
13500,80,5,6.89387,0.198943
13500,80,5,0.0,0.0
13500,80,5,2.78136,0.273005
13500,80,6,0.0,0.0
13500,80,6,0.0,0.0
13500,80,6,4.19909,0.317642
13500,80,6,6.88305,0.190777
13500,80,6,9.32891,0.148186
13500,80,6,0.0,0.0
13500,80,6,0.0,0.0
13500,80,6,10.3462,0.0865753
13500,80,6,1.77487,0.371181
13500,80,6,7.22936,0.236372
13500,160,5,0.0,0.0
13500,160,5,0.0,0.0
13500,160,5,4.39389,0.274902
13500,160,5,0.0216448,0.408236
13500,160,5,4.04758,0.278667
13500,160,5,10.3895,0.0800221
13500,160,5,0.0,0.0
13500,160,5,12.0886,0.0910578
13500,160,5,6.98045,0.0624297
13500,160,5,4.71857,0.292745
13500,160,6,14.1557,0.0130255
13500,160,6,0.0,0.0
13500,160,6,0.0,0.0
13500,160,6,1.0606,0.41406
13500,160,6,1.66665,0.273638
13500,160,6,0.692634,0.317921
13500,160,6,12.4241,0.0336232
13500,160,6,7.72719,0.154236
13500,160,6,0.0,0.0
13500,160,6,11.4285,0.0136095
15000,80,5,0.64921,0.295113
15000,80,5,0.0,0.0
15000,80,5,2.94549,0.469027
15000,80,5,1.03393,0.368952
15000,80,5,5.36199,0.361974
15000,80,5,6.39592,0.310028
15000,80,5,6.76861,0.259625
15000,80,5,0.0,0.0
15000,80,5,0.0,0.0
15000,80,5,4.4002,0.414748
15000,80,6,3.23403,0.48258
15000,80,6,3.25807,0.472574
15000,80,6,3.63076,0.460237
15000,80,6,4.19582,0.465241
15000,80,6,0.144269,0.548465
15000,80,6,0.0,0.0
15000,80,6,1.2864,0.43757
15000,80,6,1.31044,0.505277
15000,80,6,0.0,0.476805
15000,80,6,0.55303,0.528154
15000,160,5,9.13702,0.190502
15000,160,5,6.85277,0.388753
15000,160,5,7.88669,0.244332
15000,160,5,0.0,0.0
15000,160,5,5.47019,0.338916
15000,160,5,2.99358,0.207607
15000,160,5,1.29842,0.29841
15000,160,5,8.15119,0.208861
15000,160,5,1.611,0.37552
15000,160,5,0.0,0.0
15000,160,6,0.0,0.0
15000,160,6,11.0606,0.263623
15000,160,6,14.0301,0.032882
15000,160,6,15.6291,0.032882
15000,160,6,0.0,0.0
15000,160,6,0.0,0.0
15000,160,6,0.0,0.0
15000,160,6,0.0,0.0
15000,160,6,16.615,0.00199601
15000,160,6,11.0606,0.198718
